DEBUG | 2024-10-04 19:11:21,263 | number is found: 12356789
DEBUG | 2024-10-04 19:11:21,264 | stop working
DEBUG | 2024-10-04 19:11:21,264 | close connection
DEBUG | 2024-10-04 19:12:26,585 | stop working
DEBUG | 2024-10-04 19:12:26,585 | close connection
DEBUG | 2024-10-04 19:16:40,595 | stop working
DEBUG | 2024-10-04 19:16:40,596 | close connection
DEBUG | 2024-10-06 15:00:55,528 | number is found: 12356789
DEBUG | 2024-10-06 15:00:55,528 | close connection
DEBUG | 2024-10-06 15:07:44,987 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:07:44,987 | close connection
DEBUG | 2024-10-06 15:09:33,148 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:09:33,148 | close connection
DEBUG | 2024-10-06 15:24:38,785 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:24:38,785 | close connection
DEBUG | 2024-10-06 15:24:38,808 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:24:38,808 | close connection
DEBUG | 2024-10-06 15:24:38,829 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:24:38,830 | close connection
DEBUG | 2024-10-06 15:24:38,921 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:24:38,921 | close connection
DEBUG | 2024-10-06 15:24:38,972 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:24:38,972 | close connection
DEBUG | 2024-10-06 15:24:39,001 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:24:39,002 | close connection
DEBUG | 2024-10-06 15:24:39,059 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:24:39,060 | close connection
DEBUG | 2024-10-06 15:24:39,093 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 15:24:39,093 | close connection
DEBUG | 2024-10-06 16:46:25,435 | close connection
DEBUG | 2024-10-06 16:46:43,719 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:46:43,727 | close connection
DEBUG | 2024-10-06 16:47:05,526 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:47:05,530 | close connection
DEBUG | 2024-10-06 16:48:02,868 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:48:02,871 | close connection
DEBUG | 2024-10-06 16:48:05,747 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:48:05,751 | close connection
DEBUG | 2024-10-06 16:48:08,875 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:48:08,878 | close connection
DEBUG | 2024-10-06 16:48:18,253 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:48:18,256 | close connection
DEBUG | 2024-10-06 16:48:34,055 | close connection
DEBUG | 2024-10-06 16:48:39,168 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:48:39,171 | close connection
DEBUG | 2024-10-06 16:49:12,452 | close connection
DEBUG | 2024-10-06 16:49:27,866 | close connection
DEBUG | 2024-10-06 16:50:04,721 | close connection
DEBUG | 2024-10-06 16:50:59,694 | close connection
DEBUG | 2024-10-06 16:54:24,891 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:54:24,895 | close connection
DEBUG | 2024-10-06 16:54:24,992 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:54:24,992 | close connection
DEBUG | 2024-10-06 16:54:39,734 | stop working
DEBUG | 2024-10-06 16:54:39,734 | close connection
DEBUG | 2024-10-06 16:57:12,433 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:57:12,434 | close connection
DEBUG | 2024-10-06 16:57:32,624 | number is found: 12345678
DEBUG | 2024-10-06 16:57:32,625 | close connection
DEBUG | 2024-10-06 16:58:09,893 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:58:09,894 | close connection
DEBUG | 2024-10-06 16:58:22,120 | [ERROR] Connection with lost.
DEBUG | 2024-10-06 16:58:22,120 | close connection
DEBUG | 2024-10-06 16:59:36,451 | number is found: 123456789
DEBUG | 2024-10-06 16:59:36,452 | close connection
DEBUG | 2024-10-06 17:23:04,307 | number is found: 123456789
DEBUG | 2024-10-06 17:23:04,310 | close connection
