DEBUG | 2024-10-04 19:12:14,141 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 19:12:16,034 | [NEW CONNECTION] ('127.0.0.1', 55103) connected.
DEBUG | 2024-10-04 19:12:16,034 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-04 19:12:26,565 | result is 12356789
DEBUG | 2024-10-04 19:12:26,719 | server is closed
DEBUG | 2024-10-04 19:16:17,213 | *********************************************
DEBUG | 2024-10-04 19:16:17,213 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-04 19:16:28,951 | [NEW CONNECTION] ('127.0.0.1', 55153) connected.
DEBUG | 2024-10-04 19:16:28,951 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-04 19:16:31,467 | [NEW CONNECTION] ('127.0.0.1', 55154) connected.
DEBUG | 2024-10-04 19:16:31,467 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-04 19:16:40,570 | result is 12356789
DEBUG | 2024-10-04 19:16:40,619 | server is closed
DEBUG | 2024-10-06 15:00:42,039 | ********************************************************
DEBUG | 2024-10-06 15:00:42,043 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 15:00:44,195 | [NEW CONNECTION] ('127.0.0.1', 65059) connected.
DEBUG | 2024-10-06 15:00:44,195 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 15:00:46,022 | [NEW CONNECTION] ('127.0.0.1', 65060) connected.
DEBUG | 2024-10-06 15:00:46,022 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-06 15:00:55,527 | result is 12356789
DEBUG | 2024-10-06 15:00:55,699 | server is closed
DEBUG | 2024-10-06 15:05:59,702 | ********************************************************
DEBUG | 2024-10-06 15:05:59,702 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 15:06:02,400 | [NEW CONNECTION] ('127.0.0.1', 65097) connected.
DEBUG | 2024-10-06 15:06:02,400 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 15:06:05,230 | [NEW CONNECTION] ('127.0.0.1', 65098) connected.
DEBUG | 2024-10-06 15:06:05,230 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-06 15:07:44,930 | server is closed
DEBUG | 2024-10-06 15:08:11,800 | ********************************************************
DEBUG | 2024-10-06 15:08:11,800 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 15:08:13,522 | [NEW CONNECTION] ('127.0.0.1', 65112) connected.
DEBUG | 2024-10-06 15:08:13,523 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 15:08:15,601 | [NEW CONNECTION] ('127.0.0.1', 65113) connected.
DEBUG | 2024-10-06 15:08:15,602 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-06 15:09:29,124 | [NEW CONNECTION] ('127.0.0.1', 65118) connected.
DEBUG | 2024-10-06 15:09:29,124 | [ACTIVE CONNECTIONS] 3
DEBUG | 2024-10-06 15:09:32,686 | server is closed
DEBUG | 2024-10-06 15:09:33,260 | ********************************************************
DEBUG | 2024-10-06 15:09:33,260 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 15:09:35,835 | [NEW CONNECTION] ('127.0.0.1', 65119) connected.
DEBUG | 2024-10-06 15:09:35,835 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 15:09:37,610 | [NEW CONNECTION] ('127.0.0.1', 65120) connected.
DEBUG | 2024-10-06 15:09:37,610 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-06 15:13:09,359 | [NEW CONNECTION] ('127.0.0.1', 65127) connected.
DEBUG | 2024-10-06 15:13:09,359 | [ACTIVE CONNECTIONS] 3
DEBUG | 2024-10-06 15:13:34,685 | [NEW CONNECTION] ('127.0.0.1', 65128) connected.
DEBUG | 2024-10-06 15:13:34,685 | [ACTIVE CONNECTIONS] 4
DEBUG | 2024-10-06 15:14:17,509 | [NEW CONNECTION] ('127.0.0.1', 65133) connected.
DEBUG | 2024-10-06 15:14:17,509 | [ACTIVE CONNECTIONS] 5
DEBUG | 2024-10-06 15:15:55,252 | [NEW CONNECTION] ('127.0.0.1', 65134) connected.
DEBUG | 2024-10-06 15:15:55,252 | [ACTIVE CONNECTIONS] 6
DEBUG | 2024-10-06 15:16:27,573 | [NEW CONNECTION] ('127.0.0.1', 65135) connected.
DEBUG | 2024-10-06 15:16:27,573 | [ACTIVE CONNECTIONS] 7
DEBUG | 2024-10-06 15:23:06,576 | [NEW CONNECTION] ('127.0.0.1', 65150) connected.
DEBUG | 2024-10-06 15:23:06,576 | [ACTIVE CONNECTIONS] 8
DEBUG | 2024-10-06 15:23:24,131 | [NEW CONNECTION] ('127.0.0.1', 65152) connected.
DEBUG | 2024-10-06 15:23:24,132 | [ACTIVE CONNECTIONS] 9
DEBUG | 2024-10-06 15:24:38,701 | server is closed
DEBUG | 2024-10-06 15:25:11,136 | ********************************************************
DEBUG | 2024-10-06 15:25:11,136 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 15:25:13,591 | [NEW CONNECTION] ('127.0.0.1', 65155) connected.
DEBUG | 2024-10-06 15:25:13,591 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 15:25:15,605 | [NEW CONNECTION] ('127.0.0.1', 65156) connected.
DEBUG | 2024-10-06 15:25:15,605 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-06 15:25:23,322 | [NEW CONNECTION] ('127.0.0.1', 65157) connected.
DEBUG | 2024-10-06 15:25:23,322 | [ACTIVE CONNECTIONS] 3
DEBUG | 2024-10-06 15:25:25,720 | [NEW CONNECTION] ('127.0.0.1', 65158) connected.
DEBUG | 2024-10-06 15:25:25,720 | [ACTIVE CONNECTIONS] 4
DEBUG | 2024-10-06 15:25:28,413 | [NEW CONNECTION] ('127.0.0.1', 65159) connected.
DEBUG | 2024-10-06 15:25:28,413 | [ACTIVE CONNECTIONS] 5
DEBUG | 2024-10-06 15:25:31,235 | [NEW CONNECTION] ('127.0.0.1', 65160) connected.
DEBUG | 2024-10-06 15:25:31,235 | [ACTIVE CONNECTIONS] 6
DEBUG | 2024-10-06 15:25:33,750 | [NEW CONNECTION] ('127.0.0.1', 65161) connected.
DEBUG | 2024-10-06 15:25:33,750 | [ACTIVE CONNECTIONS] 7
DEBUG | 2024-10-06 15:25:36,250 | [NEW CONNECTION] ('127.0.0.1', 65162) connected.
DEBUG | 2024-10-06 15:25:36,250 | [ACTIVE CONNECTIONS] 8
DEBUG | 2024-10-06 15:25:39,534 | [NEW CONNECTION] ('127.0.0.1', 65163) connected.
DEBUG | 2024-10-06 15:25:39,534 | [ACTIVE CONNECTIONS] 9
DEBUG | 2024-10-06 16:45:12,279 | server is closed
DEBUG | 2024-10-06 16:45:21,627 | ********************************************************
DEBUG | 2024-10-06 16:45:21,627 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:45:38,259 | [NEW CONNECTION] ('127.0.0.1', 49390) connected.
DEBUG | 2024-10-06 16:45:38,259 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:46:14,104 | server is closed
DEBUG | 2024-10-06 16:46:17,809 | ********************************************************
DEBUG | 2024-10-06 16:46:17,809 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:46:20,856 | [NEW CONNECTION] ('127.0.0.1', 49394) connected.
DEBUG | 2024-10-06 16:46:20,856 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:48:31,734 | [NEW CONNECTION] ('127.0.0.1', 49400) connected.
DEBUG | 2024-10-06 16:48:31,734 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-06 16:49:10,782 | [NEW CONNECTION] ('127.0.0.1', 49403) connected.
DEBUG | 2024-10-06 16:49:10,782 | [ACTIVE CONNECTIONS] 3
DEBUG | 2024-10-06 16:49:22,000 | server is closed
DEBUG | 2024-10-06 16:49:23,672 | ********************************************************
DEBUG | 2024-10-06 16:49:23,672 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:49:26,312 | [NEW CONNECTION] ('127.0.0.1', 49404) connected.
DEBUG | 2024-10-06 16:49:26,312 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:50:00,963 | server is closed
DEBUG | 2024-10-06 16:50:01,544 | ********************************************************
DEBUG | 2024-10-06 16:50:01,544 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:50:03,478 | [NEW CONNECTION] ('127.0.0.1', 49670) connected.
DEBUG | 2024-10-06 16:50:03,478 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:50:56,013 | server is closed
DEBUG | 2024-10-06 16:50:56,911 | ********************************************************
DEBUG | 2024-10-06 16:50:56,911 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:50:58,603 | [NEW CONNECTION] ('127.0.0.1', 49672) connected.
DEBUG | 2024-10-06 16:50:58,604 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:52:56,743 | server is closed
DEBUG | 2024-10-06 16:52:58,988 | ********************************************************
DEBUG | 2024-10-06 16:52:58,989 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:53:22,968 | server is closed
DEBUG | 2024-10-06 16:53:23,302 | ********************************************************
DEBUG | 2024-10-06 16:53:23,302 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:53:26,132 | [NEW CONNECTION] ('127.0.0.1', 50062) connected.
DEBUG | 2024-10-06 16:53:26,132 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:53:28,264 | [NEW CONNECTION] ('127.0.0.1', 50063) connected.
DEBUG | 2024-10-06 16:53:28,264 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-06 16:53:52,877 | [NEW CONNECTION] ('127.0.0.1', 50066) connected.
DEBUG | 2024-10-06 16:53:52,878 | [ACTIVE CONNECTIONS] 3
DEBUG | 2024-10-06 16:54:24,441 | server is closed
DEBUG | 2024-10-06 16:54:25,082 | ********************************************************
DEBUG | 2024-10-06 16:54:25,082 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:54:28,261 | [NEW CONNECTION] ('127.0.0.1', 50069) connected.
DEBUG | 2024-10-06 16:54:28,261 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:54:30,310 | [NEW CONNECTION] ('127.0.0.1', 50070) connected.
DEBUG | 2024-10-06 16:54:30,310 | [ACTIVE CONNECTIONS] 2
